record_time_ns,height_bin_index,height_label_m,odometry_z_m,odometry_stamp_ns,leg_stamp_ns,leg_meas_stamp_ns,leg_sequence,waist_stamp_ns,waist_meas_stamp_ns,waist_sequence,arm_stamp_ns,arm_meas_stamp_ns,arm_sequence,leg__left_ankle_pitch_joint_position,leg__left_ankle_roll_joint_position,leg__left_hip_pitch_joint_position,leg__left_hip_roll_joint_position,leg__left_hip_yaw_joint_position,leg__left_knee_joint_position,leg__right_ankle_pitch_joint_position,leg__right_ankle_roll_joint_position,leg__right_hip_pitch_joint_position,leg__right_hip_roll_joint_position,leg__right_hip_yaw_joint_position,leg__right_knee_joint_position,waist__waist_pitch_joint_position,waist__waist_roll_joint_position,waist__waist_yaw_joint_position,arm__left_elbow_joint_position,arm__left_shoulder_pitch_joint_position,arm__left_shoulder_roll_joint_position,arm__left_shoulder_yaw_joint_position,arm__left_wrist_pitch_joint_position,arm__left_wrist_roll_joint_position,arm__left_wrist_yaw_joint_position,arm__right_elbow_joint_position,arm__right_shoulder_pitch_joint_position,arm__right_shoulder_roll_joint_position,arm__right_shoulder_yaw_joint_position,arm__right_wrist_pitch_joint_position,arm__right_wrist_roll_joint_position,arm__right_wrist_yaw_joint_position
1786003399125653748,91,0.91,0.9097610084383232,1786003399155470610,1786003399158966767,0,1210018,1786003399158966767,0,1210019,1786003399158966767,0,1210016,-0.29960155487060547,-0.002780437469482422,-0.2909727096557617,0.006231784820556641,-0.014093399047851562,0.5254769325256348,-0.3017106056213379,0.023488998413085938,-0.2624025344848633,-0.026173114776611328,-0.038252830505371094,0.5003581047058105,-0.0296296615490145,-0.004179711609836055,-0.010258197784423828,-1.1766424179077148,0.39298105239868164,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.175300121307373,0.3931732177734375,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405149068402,90,0.9,0.9047250239754268,1786003405181127787,1786003405182433228,0,1213030,1786003405182433228,0,1213031,1786003405182433228,0,1213028,-0.35808372497558594,-0.002972126007080078,-0.3546319007873535,0.006231784820556641,-0.015052318572998047,0.6460843086242676,-0.3592338562011719,0.023488998413085938,-0.32567834854125977,-0.027132034301757812,-0.037677764892578125,0.6228833198547363,-0.028284382047662236,-0.002556887560600485,-0.010449886322021484,-1.1774096488952637,0.3203096389770508,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1758756637573242,0.3216519355773926,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405284278715,89,0.89,0.8942801037824551,1786003405317113638,1786003405316433936,0,1213097,1786003405316433936,0,1213098,1786003405316433936,0,1213095,-0.4188666343688965,-0.003930568695068359,-0.4439849853515625,0.006231784820556641,-0.018120288848876953,0.7893176078796387,-0.42250967025756836,0.023488998413085938,-0.4117717742919922,-0.028090476989746094,-0.037102699279785156,0.7653493881225586,-0.022966414480465703,0.0017115062686723246,-0.010258197784423828,-1.1764507293701172,0.2840700149536133,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.17472505569458,0.28330326080322266,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405384234509,88,0.88,0.8842491480379946,1786003405417112589,1786003405416433312,0,1213147,1786003405416433312,0,1213148,1786003405416433312,0,1213145,-0.45568180084228516,-0.004122257232666016,-0.5082197189331055,0.006998538970947266,-0.02042102813720703,0.8903675079345703,-0.4602837562561035,0.023488998413085938,-0.4717884063720703,-0.028282642364501953,-0.03729438781738281,0.862947940826416,-0.0067572197418584706,0.008034511368197649,-0.009491443634033203,-1.1768341064453125,0.25109004974365234,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1751084327697754,0.2516651153564453,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405484290966,87,0.87,0.8747004756397596,1786003405517104387,1786003405516432978,0,1213197,1786003405516432978,0,1213198,1786003405516432978,0,1213195,-0.48271799087524414,-0.004122257232666016,-0.5609498023986816,0.007381916046142578,-0.022913455963134766,0.9684076309204102,-0.4882783889770508,0.023488998413085938,-0.524134635925293,-0.02847433090209961,-0.03748607635498047,0.9394540786743164,0.015926990550102788,0.010093073305509355,-0.009491443634033203,-1.1762590408325195,0.22712182998657227,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1737666130065918,0.22865581512451172,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405602050555,86,0.86,0.8647850828511057,1786003405631105900,1786003405634434020,0,1213256,1786003405634434020,0,1213257,1786003405634434020,0,1213254,-0.5049600601196289,-0.0033555030822753906,-0.6131043434143066,0.007765293121337891,-0.02444744110107422,1.0491323471069336,-0.5101370811462402,0.02387237548828125,-0.5747551918029785,-0.028666019439697266,-0.03748607635498047,1.0153846740722656,0.04884303051921544,0.015001633588776531,-0.009299278259277344,-1.1762590408325195,0.1893482208251953,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1739583015441895,0.18800592422485352,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405713496378,85,0.85,0.8534859400025044,1786003405745096207,1786003405746433437,0,1213312,1786003405746433437,0,1213313,1786003405746433437,0,1213310,-0.5216422080993652,-0.0023965835571289062,-0.6575889587402344,0.007765293121337891,-0.025214672088623047,1.112983226776123,-0.5250935554504395,0.024831295013427734,-0.6186647415161133,-0.02943277359008789,-0.03633546829223633,1.0788521766662598,0.08331382202044353,0.01802701203172326,-0.009491443634033203,-1.1762590408325195,0.1575183868408203,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1743416786193848,0.15771007537841797,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405796434954,84,0.84,0.844999121443289,1786003405827093840,1786003405829433020,0,1213353,1786003405829433020,0,1213354,1786003405829433020,0,1213351,-0.533721923828125,-0.0018215179443359375,-0.6886515617370605,0.007765293121337891,-0.025406360626220703,1.158618450164795,-0.5356392860412598,0.025214672088623047,-0.6491522789001465,-0.029624462127685547,-0.034801483154296875,1.123720645904541,0.1150609525729541,0.02042641748795976,-0.009491443634033203,-1.1762590408325195,0.13048219680786133,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1743416786193848,0.13335847854614258,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405884232306,83,0.8300000000000001,0.8347765143795188,1786003405917086840,1786003405917436728,0,1213397,1786003405917436728,0,1213398,1786003405917436728,0,1213395,-0.5467605590820312,-0.001438140869140625,-0.7189474105834961,0.007765293121337891,-0.025406360626220703,1.2040619850158691,-0.5471439361572266,0.025406360626220703,-0.6788725852966309,-0.029816150665283203,-0.03345918655395508,1.1697392463684082,0.15101950585317767,0.021178374793396036,-0.009299278259277344,-1.1762590408325195,0.1036376953125,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1743416786193848,0.10593891143798828,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
1786003405961058247,82,0.8200000000000001,0.8243427475206138,1786003405991086721,1786003405993433103,0,1213435,1786003405993433103,0,1213436,1786003405993433103,0,1213433,-0.5561561584472656,-0.001438140869140625,-0.7413816452026367,0.007765293121337891,-0.025406360626220703,1.244328498840332,-0.5565395355224609,0.025406360626220703,-0.701690673828125,-0.030008316040039062,-0.03173351287841797,1.2092390060424805,0.19281368751562475,0.01857688143438576,-0.009299278259277344,-1.1762590408325195,0.07928657531738281,-0.011217117309570312,-0.0050811767578125,-0.00934600830078125,0.00629425048828125,0.013326168060302734,-1.1745333671569824,0.0802454948425293,0.006615161895751953,0.006231784820556641,-0.00934600830078125,-0.00247955322265625,-0.007381916046142578
